x_position	y_position	z_position
48.2915	23.8182	-51.8745
-49.8697	-17.8241	9.85242
11.956	21.2482	-27.1082
35.3316	-26.979	-21.7449
-39.7214	61.9828	-63.4522
42.0219	-21.4558	-39.8081
-8.06002	58.6629	53.6325
33.8316	25.4759	-48.3785
23.7719	-14.7711	35.2266
56.6296	53.2722	46.3971
-37.8776	37.6917	6.08732
43.4662	-13.3635	36.394
38.3439	52.6902	-38.6842
-21.221	34.2466	-28.3048
6.90525	-2.90714	16.6295
-17.3091	1.63509	57.7627
53.3437	17.4585	27.6754
-45.8353	13.6891	-61.7837
-32.8244	-46.5579	38.8279
-43.9456	-12.8246	-47.5257
-50.1261	63.7951	-35.8973
1.81223	43.4532	14.5472
-25.9858	17.6052	3.04538
-0.861958	60.5762	-26.5161
34.6412	3.28941	34.3848
-12.9213	50.1723	-27.7881
-18.9666	39.324	53.4784
-55.0992	57.6807	3.35949
-53.0749	-39.3357	20.9936
49.945	-19.4733	-55.639
-61.3888	-5.40737	-56.0359
-33.4781	60.2128	51.6093
44.8772	-29.965	5.02251
-15.8854	33.3651	1.79072
21.4065	4.19828	-59.1119
-8.01665	55.085	55.2524
28.3872	-27.6897	30.3844
18.0577	-18.5969	23.8731
-42.7749	-7.47983	48.7295
42.0267	-21.7269	-34.5519
50.1957	-19.3077	23.8488
58.3518	11.4063	20.2536
45.7691	-7.90856	54.0966
-13.0163	40.398	23.6537
52.5824	-2.38744	-36.34
57.6625	53.7879	-45.063
48.7229	17.9832	-8.5607
15.2993	-28.1512	36.6504
-24.6355	-6.73404	-35.0214
-40.098	-28.5153	7.05971
-10.8419	-42.1276	51.944
-50.8011	-47.9678	-0.457684
33.2605	61.9934	55.8258
23.5492	-14.831	32.0318
-16.9891	-26.4406	-34.1637
10.8629	-32.5861	-44.5678
29.6079	-48.0552	37.6074
-43.1448	31.4362	-54.3518
57.6976	-57.3913	2.72218
-41.5158	-33.2973	38.0148
29.7359	20.0528	59.6953
17.8719	33.0597	-52.0805
-46.7778	2.51217	-53.8951
-55.144	-37.7467	-4.91809
41.0798	9.45619	32.8333
-57.2758	-43.8729	-63.9448
-38.0356	49.927	-47.808
63.7638	-57.0258	47.4362
-54.7801	-63.5202	54.2369
12.1341	-40.8441	-43.2525
-14.043	52.6998	40.9923
-18.1557	6.76377	10.2439
-6.04424	23.794	-51.4359
3.86863	32.8421	-24.9906
63.1425	9.72987	48.2736
31.7839	16.646	-59.4072
31.6471	42.8024	54.3277
47.6471	42.3741	61.4939
31.2753	51.7861	61.7817
21.3202	-0.271771	-42.8704
42.2597	49.8772	-53.9786
19.06	-32.0865	16.5932
-34.504	25.6772	-23.4208
-21.7479	-34.2621	-54.3868
17.0695	-35.3116	19.5351
1.53515	60.2802	-28.0109
5.93592	28.1193	-49.4005
-3.54436	11.9584	56.7816
-6.24246	-20.9584	44.3757
-8.26881	-63.4462	-19.7041
12.6687	42.6215	-34.0189
22.4981	-2.12644	-2.29739
-25.1007	27.1775	-40.8122
15.6705	-58.7624	-10.8824
25.0917	22.1151	17.614
-19.5652	-40.5417	14.0863
16.2319	29.5862	-21.9865
